bit32,dim,data
Â±,band,0.6555707181069128
e1,band,0.5128934289765349
e2,band,0.0
e3,band,0.0
e4,band,6.664815736080465e-08
e5,band,0.5151336391161806
e6,band,0.870316691099612
e7,band,0.8199575900472357
e8,band,0.7460091095909168
m1,band,0.5661777289477767
m2,band,0.48195672787064187
m3,band,0.33004019719419764
m4,band,0.17620964328309385
m5,band,0.07903674063680545
m6,band,0.032839759764546915
m7,band,0.024969375840530376
m8,band,0.030845211494849777
m9,band,0.030511544784144976
m10,band,0.03051944291032611
m11,band,0.0204128803172343
m12,band,0.030502332299732236
m13,band,0.020406193271251198
m14,band,0.030491394468312717
m15,band,0.03049904774595868
m16,band,0.02037489453620446
m17,band,0.02039476950131617
m18,band,0.02040045581339215
m19,band,0.020374099254635878
m20,band,0.03051769066402796
m21,band,0.020384019549848264
m22,band,0.030520895000641264
m23,band,0.020394769312483286
